title,company,location,salary,link,source_platform
Python Developer Brazil,Anyone AI,SÃ£o Paulo,$15 - $35,https://remoteOK.com/remote-jobs/remote-python-developer-brazil-anyone-ai-1131634,RemoteOK
Analista Pleno de NegÃ³cios Offshore,C6 Bank,"SÃ£o Paulo, ",,https://remoteOK.com/remote-jobs/remote-analista-pleno-de-negocios-offshore-c6-bank-1131925,RemoteOK
AIå¹è®­è®²å¸ ç¡åé¡¹ç®ï¼çº¿ä¸ï¼,è½¯è£è®¾è®¡å¬å¸,"å¹¿å·, ",,https://remoteOK.com/remote-jobs/,RemoteOK
AIç­å§å¶ä½ï¼çº¿ä¸ï¼,èè¹(ä¸æµ·)ç½ç»ç§ææéå¬å¸,"éå®åº, ",,https://remoteOK.com/remote-jobs/,RemoteOK
Forward Deployed Engineer Agentic Platform,Cohere,,,https://remoteOK.com/remote-jobs/remote-forward-deployed-engineer-agentic-platform-cohere-1131611,RemoteOK
Backend Developer,Nabu Casa,"Toronto, Toronto, Ontario, Canada",,https://remoteOK.com/remote-jobs/remote-backend-developer-nabu-casa-1132834,RemoteOK
Lead Software Engineer,CSC Generation,Remote - Canada,,https://remoteOK.com/remote-jobs/remote-lead-software-engineer-csc-generation-1131529,RemoteOK
Engineering Manager AI Fleet Management &amp; Honk,Spotify,,,https://remoteOK.com/remote-jobs/remote-engineering-manager-ai-fleet-management-amp-honk-spotify-1131520,RemoteOK
Flight Coordinator,Starlink Aviation,"Dorval, Dorval, Quebec, Canada",,https://remoteOK.com/remote-jobs/remote-flight-coordinator-starlink-aviation-1133044,RemoteOK
Principal Data Engineer,Extend,Remote,,https://remoteOK.com/remote-jobs/remote-principal-data-engineer-extend-1131491,RemoteOK
3D Modeling & Python Specialist Freelance AI Trainer Project,Invisible Agency,,,https://remoteOK.com/remote-jobs/remote-3d-modeling-python-specialist-freelance-ai-trainer-project-invisible-agency-1131456,RemoteOK
Junior Mid Full Stack Software Engineer,Black Canyon Consulting,Bethesda,,https://remoteOK.com/remote-jobs/remote-junior-mid-full-stack-software-engineer-black-canyon-consulting-1131437,RemoteOK
Data Scientist,YO IT Consulting,"Melbourne, Melbourne, Victoria, Australia",,https://remoteOK.com/remote-jobs/remote-data-scientist-yo-it-consulting-1131888,RemoteOK
Data Scientist,YO IT Consulting,"Sydney, Sydney, New South Wales, Australia",,https://remoteOK.com/remote-jobs/remote-data-scientist-yo-it-consulting-1132059,RemoteOK
Founding Engineer,Haast,New York ,$180000 - $220000,https://remoteOK.com/remote-jobs/remote-founding-engineer-haast-1131402,RemoteOK
Field Service Engineer Australia,Dexory,"Sydney, Sydney, New South Wales, Australia",,https://remoteOK.com/remote-jobs/remote-field-service-engineer-australia-dexory-1132467,RemoteOK
Data Governance Engineer,"Chime Financial, Inc",San Francisco,,https://remoteOK.com/remote-jobs/remote-data-governance-engineer-chime-financial-inc-1131365,RemoteOK
Software Developer React NextJS,Leap Tools,"Toronto, Toronto, Ontario, Canada",,https://remoteOK.com/remote-jobs/remote-software-developer-react-nextjs-leap-tools-1133095,RemoteOK
Applied AI Engineer Europe,Amigo,Amsterdam,,https://remoteOK.com/remote-jobs/remote-applied-ai-engineer-europe-amigo-1131296,RemoteOK
Senior CAD Backend Engineer Mechanical CAD Automation,Foundation EGI,,,https://remoteOK.com/remote-jobs/remote-senior-cad-backend-engineer-mechanical-cad-automation-foundation-egi-1131271,RemoteOK
Senior Site Reliability Engineer,Pave Bank,Kuala Lumpur,,https://remoteOK.com/remote-jobs/remote-senior-site-reliability-engineer-pave-bank-1131263,RemoteOK
Software Engineer Identity & Access,Patreon,,$189000 - $255500,https://remoteOK.com/remote-jobs/remote-software-engineer-identity-access-patreon-1131240,RemoteOK
Senior Software Engineer App Infra,Ocrolus Inc.,,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-app-infra-ocrolus-inc-1131164,RemoteOK
Technical Support L3 Weekends,Redis,,$91455 - $137273,https://remoteOK.com/remote-jobs/remote-technical-support-l3-weekends-redis-1131106,RemoteOK
Engineering Manager Data Platform,TrueML,Remote in USA,,https://remoteOK.com/remote-jobs/remote-engineering-manager-data-platform-trueml-1131102,RemoteOK
Biology AI Training Expert,Anyone AI,Amsterdam ,Up to $40,https://remoteOK.com/remote-jobs/remote-biology-ai-training-expert-anyone-ai-1130953,RemoteOK
Data Analyst,World Golf Tour (WGT),San Francisco,$75000 - $125000,https://remoteOK.com/remote-jobs/remote-data-analyst-world-golf-tour-wgt-1130952,RemoteOK
Software Engineer,Clover Health,USA,,https://remoteOK.com/remote-jobs/remote-software-engineer-clover-health-1130932,RemoteOK
Staff Machine Learning Engineer,Fullscript,,,https://remoteOK.com/remote-jobs/remote-staff-machine-learning-engineer-fullscript-1130924,RemoteOK
Product Analyst,Topsort,"Sydney, Sydney, New South Wales, Australia",,https://remoteOK.com/remote-jobs/remote-product-analyst-topsort-1132466,RemoteOK
Solutions Analytics Data Scientist,SentiLink,Austin,,https://remoteOK.com/remote-jobs/remote-solutions-analytics-data-scientist-sentilink-1130707,RemoteOK
Data Analyst II,ComputerCare,Remote,,https://remoteOK.com/remote-jobs/remote-data-analyst-ii-computercare-1130490,RemoteOK
QA Engineer,Mex Digital FZE ,Dubai,,https://remoteOK.com/remote-jobs/remote-qa-engineer-mex-digital-fze-1130438,RemoteOK
QA Engineer,Mex Digital FZE ,Dubai,,https://remoteOK.com/remote-jobs/remote-qa-engineer-mex-digital-fze-1130390,RemoteOK
Sr Security Engineer,True Zero Technologies,100% Remote,,https://remoteOK.com/remote-jobs/remote-sr-security-engineer-true-zero-technologies-1130026,RemoteOK
Principal Software Engineer Dynamo,2100 NVIDIA USA,"US, CA, Santa Clara",,https://remoteOK.com/remote-jobs/remote-principal-software-engineer-dynamo-2100-nvidia-usa-1129905,RemoteOK
Security Engineer,OpenRouter,,,https://remoteOK.com/remote-jobs/remote-security-engineer-openrouter-1129851,RemoteOK
Computational Biologist,BIO,,,https://remoteOK.com/remote-jobs/remote-computational-biologist-bio-1129791,RemoteOK
Senior Full Stack Software Engineer,Empassion,"New York, NY",,https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-empassion-1129677,RemoteOK
Forward Deployed Engineer AI Inference,"Red Hat, Inc.",Remote US MA,,https://remoteOK.com/remote-jobs/remote-forward-deployed-engineer-ai-inference-red-hat-inc-1129504,RemoteOK
Software Engineer Identity Access Management,Zip,San Francisco,,https://remoteOK.com/remote-jobs/remote-software-engineer-identity-access-management-zip-1129488,RemoteOK
Security Architect,Dexterity,Redwood City,,https://remoteOK.com/remote-jobs/remote-security-architect-dexterity-1129385,RemoteOK
Senior Security Engineer,Loft Orbital Solutions,"Golden, CO or San Francisco",,https://remoteOK.com/remote-jobs/remote-senior-security-engineer-loft-orbital-solutions-1129258,RemoteOK
Senior Infrastructure Engineer Core Systems,Quicknode,Lisbon,,https://remoteOK.com/remote-jobs/remote-senior-infrastructure-engineer-core-systems-quicknode-1129232,RemoteOK
Python Developer - F2F discussion,Tata Consultancy Services,Delhi / NCR,,https://www.naukri.com/job-listings-python-developer-f2f-discussion-delhi-tata-consultancy-services-delhi-ncr-5-to-10-years-040626013161,Naukri
Walkin Drive Kolkata - Python Developer,Tata Consultancy Services,Kolkata,,https://www.naukri.com/job-listings-walkin-drive-kolkata-python-developer-tata-consultancy-services-kolkata-6-to-11-years-050626004997,Naukri
Python Developer,Infosys,Hyderabad,,https://www.naukri.com/job-listings-python-developer-infosys-limited-hyderabad-2-to-5-years-050626924237,Naukri
Python Developer,Ocean Software Technologies,"Nagpur, Bengaluru",,https://www.naukri.com/job-listings-python-developer-ocean-software-technologies-nagpur-bengaluru-0-to-1-years-290526508258,Naukri
Python Developer,Infosys,Hyderabad,,https://www.naukri.com/job-listings-python-developer-infosys-limited-hyderabad-5-to-9-years-050626924264,Naukri
Python Developer,Infosys,Hyderabad,,https://www.naukri.com/job-listings-python-developer-infosys-limited-hyderabad-5-to-9-years-050626923498,Naukri
Python Software Developer,Tata Consultancy Services,Kolkata,,https://www.naukri.com/job-listings-python-software-developer-tata-consultancy-services-kolkata-4-to-9-years-080626000985,Naukri
Walk-in || Python Developer,Tata Consultancy Services,Chennai,,https://www.naukri.com/job-listings-python-developer-tata-consultancy-services-chennai-7-to-12-years-040626013886,Naukri
Python Software Developer,HCLTech,Hybrid - Chennai,,https://www.naukri.com/job-listings-python-software-developer-hcltech-chennai-5-to-8-years-020626026635,Naukri
Python developer,Quadrant Technologies,Hybrid - Bengaluru,,https://www.naukri.com/job-listings-python-developer-quadrant-technologies-bengaluru-7-to-12-years-080626009493,Naukri
Python Developer,Cloudxtreme,"Hyderabad, Chennai, Bengaluru",11-18 Lacs PA,https://www.naukri.com/job-listings-python-developer-cloudxtreme-hyderabad-chennai-bengaluru-6-to-11-years-090626030034,Naukri
Python Developer,Prishatech India Pvt Ltd,Bengaluru,1-3.75 Lacs PA,https://www.naukri.com/job-listings-python-developer-prishatech-india-opc-bengaluru-1-to-2-years-090626034328,Naukri
Python Developer,Leading IT MNC,"Panchkula, Gurugram, Bengaluru",,https://www.naukri.com/job-listings-python-developer-leinex-consulting-panchkula-gurugram-bengaluru-4-to-9-years-090626023263,Naukri
Walk-in || Python Developer,Tata Consultancy Services,Kolkata,,https://www.naukri.com/job-listings-python-developer-tata-consultancy-services-kolkata-6-to-11-years-040626026613,Naukri
Gen AI Python Developer,Cognizant,Hybrid - India,,https://www.naukri.com/job-listings-gen-ai-python-developer-cognizant-india-5-to-9-years-060626009403,Naukri
Opening For AI/ML Python Developer Bangalore and Hyderabad location,Pracyva Consulting Services,"Hybrid - Hyderabad, Bengaluru",10-20 Lacs PA,https://www.naukri.com/job-listings-opening-for-ai-ml-python-developer-bangalore-and-hyderabad-location-pracyva-consulting-services-hyderabad-bengaluru-4-to-9-years-100626005102,Naukri
Python Developer,Mechispike Solutions,Bengaluru,,https://www.naukri.com/job-listings-python-developer-mechispike-solutions-bengaluru-4-to-9-years-100626500775,Naukri
Python Developer,Black and white Business Solutions,"Hyderabad, Pune, Bengaluru",,https://www.naukri.com/job-listings-python-developer-black-and-white-business-solutions-hyderabad-pune-bengaluru-4-to-9-years-030626026287,Naukri
Python Software Developer(Weekend Inperson Drive on 13th June),Tata Consultancy Services,Chennai,,https://www.naukri.com/job-listings-python-software-developer-weekend-inperson-drive-on-13th-june-tata-consultancy-services-chennai-6-to-11-years-100626007773,Naukri
Python Developer (Sr. Software Engineer / Technical Lead),Tessolve,Bengaluru,,https://www.naukri.com/job-listings-python-developer-sr-software-engineer-technical-lead-tessolve-semiconductor-pvt-ltd-bengaluru-5-to-8-years-270526505704,Naukri
